density,average_burned
1.00,4.20
2.00,2.20
3.00,1.63
4.00,1.33
5.00,1.23
6.00,0.99
7.00,1.06
8.00,0.88
9.00,0.77
10.00,0.74
11.00,0.76
12.00,0.90
13.00,0.94
14.00,0.98
15.00,0.93
16.00,0.94
17.00,1.10
18.00,0.92
19.00,0.86
20.00,1.02
21.00,1.09
22.00,1.17
23.00,1.33
24.00,1.62
25.00,1.22
26.00,1.79
27.00,1.68
28.00,2.22
29.00,2.46
30.00,3.16
31.00,3.14
32.00,4.01
33.00,4.45
34.00,5.71
35.00,9.15
36.00,10.34
37.00,12.35
38.00,18.16
39.00,21.74
40.00,25.86
41.00,30.03
42.00,47.13
43.00,57.44
44.00,63.84
45.00,67.89
46.00,70.40
47.00,81.12
48.00,85.77
49.00,82.11
50.00,85.70
51.00,88.04
52.00,93.58
53.00,92.95
54.00,91.37
55.00,91.58
56.00,93.89
57.00,95.15
58.00,94.26
59.00,95.41
60.00,94.53
61.00,95.53
62.00,93.70
63.00,95.75
64.00,94.80
65.00,95.85
66.00,95.84
67.00,95.88
68.00,95.91
69.00,95.92
70.00,95.94
71.00,95.94
72.00,95.97
73.00,95.96
74.00,95.98
75.00,95.98
76.00,95.98
77.00,95.98
78.00,95.99
79.00,95.99
80.00,95.99
81.00,96.00
82.00,96.00
83.00,96.00
84.00,96.00
85.00,96.00
86.00,96.00
87.00,96.00
88.00,96.00
89.00,96.00
90.00,96.00
91.00,96.00
92.00,96.00
93.00,96.00
94.00,96.00
95.00,96.00
96.00,96.00
97.00,96.00
98.00,96.00
99.00,96.00
100.00,96.00
