trial,burned_percentage
1, 100.00
2, 99.50
3, 99.75
4, 99.88
5, 99.94
6, 99.88
7, 99.81
8, 99.56
9, 100.00
10, 99.88
11, 99.75
12, 100.00
13, 99.94
14, 99.88
15, 99.81
16, 99.88
17, 99.38
18, 99.62
19, 99.94
20, 99.56
21, 100.00
22, 99.12
23, 99.69
24, 99.62
25, 99.81
26, 99.88
27, 100.00
28, 99.88
29, 99.88
30, 100.00
31, 99.81
32, 99.88
33, 99.81
34, 99.69
35, 99.94
36, 99.81
37, 99.88
38, 99.88
39, 99.75
40, 99.12
41, 100.00
42, 99.69
43, 99.81
44, 99.81
45, 99.56
46, 99.94
47, 99.62
48, 99.56
49, 99.81
50, 99.88
51, 99.69
52, 99.88
53, 99.88
54, 99.75
55, 99.88
56, 99.81
57, 99.56
58, 99.94
59, 99.81
60, 99.94
61, 99.94
62, 99.75
63, 99.25
64, 100.00
65, 99.88
66, 99.88
67, 99.88
68, 99.94
69, 100.00
70, 99.94
71, 99.94
72, 99.44
73, 99.88
74, 99.88
75, 99.88
76, 99.88
77, 99.81
78, 99.94
79, 99.25
80, 99.56
81, 100.00
82, 99.62
83, 99.75
84, 0.25
85, 100.00
86, 99.75
87, 99.94
88, 99.50
89, 99.81
90, 99.94
91, 100.00
92, 99.25
93, 99.94
94, 99.88
95, 99.81
96, 99.50
